Items,STATUS,current_Q,Usage_Laptop,Usage_MobilePhone,Usage_Smartphone,Usage_Tablet,Usage_SmartWatch,Usage_SmartCar,Usage_PC,Usage_SmartTV,Usage_Console,Usage_SmartLights,Usage_SmartHeater,Usage_SmartSpeaker,CyberThreat_Danger,CyberThreat_FirewallSecurity,CyberThreat_KnownWebsites,CyberThreat_Risk4Individual,CyberThreat_OnInfrastructure,CyberThreat_GERPreparedness,CyberThreat_SelfDefense,CyberThreat_Uninformed,CyberThreat_Ignorance,CyberThreat_Education,CyberThreat_Helpless,CyberThreat_InformationSource,CyberThreat_CyberWar,CyberThreat_FearCyberWar,CyberThreat_GERCounterAttack,CyberThreat_LEACompetence,CyberThreat_LEAInsecurity,CyberThreat_CyberCrimeJustice,Knows_ENISA,Knows_BSI,Knows_BKA,Knows_CERTl,Knows_Europol,Knows_CAZ,Knows_ProPK,Knows_Zitis,Knows_Athene,Knows_CISPA,Knows_HGI,Knows_CODE,Knows_Kastel,Knows_MPI,Knows_ACS,Knows_CERTb,Knows_CERTv,Knows_Heise,Knows_CyberMonth,Knows_PWDay,Knows_DigDay,Knows_CSECDay,PastVictim_Virus,PastVictim_DDoS,PastVictim_PerfTheft,PastVictim_APT,PastVictim_Sidechannel,PastVictim_Spam,PastVictim_CyBully,PastVictim_CyStalk,PastVictim_IDTheft,PastVictim_Ransomware,PastVictim_ShopScam,PastVictim_Scareware,PastVictim_Spyware,PastVictim_Phishing,PastVictim_Doxing,PastVictim_SocEng,PastVictim_SocMedHack,PastHelp_BSI,PastHelp_CERTl,PastHelp_Police,PastHelp_Manuf,PastHelp_Provider,PastHelp_ConsOffice,PastHelp_EmployerIT,PastHelp_PCShop,PastHelp_PublicMed,PastHelp_PrivateMed,PastHelp_Forum,PastHelp_IntExperts,PastHelp_Influencer,PastHelp_Family,PastHelp_Colleague,PastHelp_Self,FutureVictim_Virus,FutureVictim_DDoS,FutureVictim_PerfTheft,FutureVictim_APT,FutureVictim_Sidechannel,FutureVictim_Spam,FutureVictim_CyBully,FutureVictim_CyStalk,FutureVictim_IDTheft,FutureVictim_Ransomware,FutureVictim_ShopScam,FutureVictim_Scareware,FutureVictim_Spyware,FutureVictim_Phishing,FutureVictim_Doxing,FutureVictim_SocEng,FutureVictim_SocMedHack,Uses_AntivirusPC,Uses_AntivirusMobile,Uses_BackupPC,Uses_BackupMobile,Uses_FirewallPC,Uses_FirewallMobile,Uses_EncrMessenger,Uses_Spamfilter,Uses_FileEncryption,Uses_MailEncryption,Uses_AnonService,Uses_VPN,Uses_PWManager,Uses_2FA,Uses_OSUpdates,Uses_AppUpdates,Uses_Camcover,Uses_PWChange,Uses_DriveBackup,Uses_CloudBackup,Uses_SafeSearchEng,PastInfo_School,PastInfo_Fam,PastInfo_Press,PastInfo_Publication,PastInfo_TV,PastInfo_Radio,PastInfo_SecNewSites,PastInfo_SoftwareSites,PastInfo_SecSoftwareSites,PastInfo_Blog,PastInfo_MicroBlog,PastInfo_Multimedia,PastInfo_SocialMedia,PastInfo_Messenger,PastInfo_Newsletter,PastInfo_Podcast,PastInfo_WarningApps,PastInfo_InstalledSoftware,FutureInfo_School,FutureInfo_Fam,FutureInfo_Press,FutureInfo_Publication,FutureInfo_TV,FutureInfo_Radio,FutureInfo_SecNewSites,FutureInfo_SoftwareSites,FutureInfo_SecSoftwareSites,FutureInfo_Blog,FutureInfo_MicroBlog,FutureInfo_Multimedia,FutureInfo_SocialMedia,FutureInfo_Messenger,FutureInfo_Newsletter,FutureInfo_Podcast,FutureInfo_WarningApps,FutureInfo_InstalledSoftware,RelInfo_CurrentSpamCampaigns,RelInfo_NewMalware,RelInfo_SecGap,RelInfo_ImportantUpdate,RelInfo_DataBreakdown,RelInfo_BestPractice,RelInfo_SecBanking,RelInfo_SecShopping,RelInfo_SecAccounts,RelInfo_SecHomeNetwork,RelInfo_SecSmartHome,RelInfo_SecEmail,RelInfo_SecSocialMedia,RelInfo_SecPublicWifi,RelInfo_SecDevice,RelInfo_Checklist,RelInfo_Tutorial,RelInfo_TechSupport,RelInfo_RecHelp,Sum_institution_knowledge,Sum_Victim,Sum_Fear,Sum_SecurityLevel,Sum_Info_Width
Knows_CODE,,,0.16,0.3,0.02,0.3,0.3,0.38,0.18,0.12,0.3,0.4,0.46,0.28,0.21,-0.03,0.2,0.06,0.09,0.36,0.15,-0.06,-0.12,0.11,0.03,0.27,0.14,0.22,0.26,0.31,0.16,0.29,0.67,0.53,0.32,0.69,0.38,0.65,0.62,0.69,0.77,0.71,0.81,1.0,0.79,0.66,0.73,0.72,0.77,0.59,0.74,0.55,0.67,0.67,0.29,0.4,0.59,0.58,0.53,-0.09,0.39,0.35,0.37,0.27,0.29,0.43,0.38,0.39,0.5,0.49,0.34,0.38,0.42,0.13,0.23,0.26,0.22,0.3,0.32,0.37,0.41,0.21,0.37,0.42,0.05,0.15,0.05,0.02,0.17,0.18,0.19,0.22,-0.19,0.17,0.18,0.04,0.07,0.05,0.19,0.02,0.03,0.15,0.08,0.02,0.01,0.23,0.29,0.23,-0.0,0.26,0.3,-0.13,0.37,0.39,0.35,0.27,0.21,0.13,-0.13,-0.1,0.22,0.13,0.23,0.19,0.46,0.36,0.33,0.25,0.47,0.25,0.31,0.47,0.39,0.42,0.42,0.48,0.32,0.36,0.41,0.35,0.43,0.41,0.32,0.02,0.07,-0.1,-0.01,-0.05,0.03,-0.01,0.04,0.01,-0.01,-0.05,-0.03,0.04,0.06,-0.05,0.09,-0.05,-0.03,0.02,-0.05,-0.05,-0.13,-0.08,0.06,-0.11,-0.13,-0.09,-0.09,0.07,-0.08,-0.1,-0.08,-0.13,-0.08,-0.13,-0.11,0.01,0.75,0.4,0.22,0.32,0.51
Knows_Kastel,,,0.22,0.29,0.07,0.31,0.28,0.35,0.2,0.21,0.32,0.38,0.43,0.28,0.25,0.02,0.21,0.06,0.1,0.38,0.2,-0.04,-0.09,0.08,0.02,0.32,0.15,0.26,0.3,0.32,0.25,0.35,0.71,0.52,0.35,0.7,0.39,0.65,0.62,0.73,0.77,0.71,0.77,0.79,1.0,0.65,0.71,0.73,0.81,0.59,0.71,0.54,0.65,0.62,0.27,0.42,0.56,0.57,0.49,-0.06,0.35,0.38,0.35,0.26,0.32,0.41,0.37,0.35,0.47,0.48,0.35,0.41,0.48,0.13,0.22,0.26,0.25,0.3,0.32,0.36,0.43,0.26,0.37,0.38,0.04,0.13,0.08,-0.03,0.16,0.15,0.19,0.24,-0.17,0.14,0.15,0.06,0.07,0.03,0.16,0.04,0.01,0.16,0.12,0.04,0.01,0.21,0.26,0.22,0.03,0.27,0.32,-0.11,0.36,0.41,0.35,0.29,0.19,0.11,-0.1,-0.05,0.19,0.13,0.2,0.19,0.46,0.36,0.33,0.29,0.5,0.28,0.29,0.46,0.38,0.4,0.44,0.49,0.31,0.4,0.42,0.43,0.44,0.4,0.28,0.02,0.06,-0.12,0.0,-0.03,0.03,0.01,-0.0,0.0,-0.02,-0.07,-0.05,0.04,0.07,-0.04,0.05,-0.06,-0.02,0.04,-0.04,-0.06,-0.13,-0.05,0.05,-0.17,-0.15,-0.09,-0.11,0.02,-0.08,-0.15,-0.06,-0.18,-0.05,-0.11,-0.06,0.02,0.72,0.39,0.22,0.32,0.51
Knows_MPI,,,0.23,0.26,0.01,0.21,0.2,0.29,0.16,0.19,0.26,0.31,0.32,0.24,0.19,0.03,0.17,0.06,0.03,0.29,0.13,-0.02,-0.08,0.07,0.0,0.25,0.15,0.19,0.27,0.23,0.16,0.26,0.58,0.49,0.39,0.6,0.39,0.57,0.56,0.61,0.64,0.6,0.6,0.66,0.65,1.0,0.64,0.63,0.65,0.5,0.6,0.5,0.55,0.54,0.24,0.36,0.45,0.47,0.41,0.0,0.3,0.28,0.32,0.25,0.24,0.35,0.36,0.32,0.41,0.38,0.29,0.44,0.43,0.18,0.26,0.29,0.27,0.28,0.34,0.33,0.37,0.2,0.33,0.33,0.04,0.11,0.07,0.04,0.17,0.16,0.2,0.22,-0.09,0.14,0.15,0.06,0.08,0.06,0.15,0.03,0.03,0.11,0.09,0.05,0.06,0.22,0.28,0.19,0.07,0.29,0.28,-0.05,0.33,0.36,0.24,0.24,0.21,0.15,-0.02,-0.02,0.14,0.11,0.2,0.18,0.38,0.32,0.24,0.26,0.42,0.32,0.36,0.39,0.34,0.41,0.4,0.44,0.3,0.38,0.4,0.38,0.37,0.37,0.33,0.01,0.0,-0.06,0.05,0.02,0.04,-0.0,0.03,-0.02,0.01,-0.07,-0.06,0.02,0.01,0.0,0.08,-0.04,0.04,0.05,-0.01,-0.01,-0.05,0.0,0.03,-0.12,-0.12,-0.08,-0.06,0.01,-0.05,-0.09,-0.04,-0.05,-0.01,-0.11,-0.04,0.07,0.7,0.39,0.21,0.3,0.49
Knows_ACS,,,0.28,0.35,0.06,0.27,0.24,0.35,0.14,0.19,0.25,0.36,0.41,0.27,0.17,0.0,0.18,0.02,0.03,0.37,0.13,-0.01,-0.08,0.13,-0.01,0.28,0.17,0.24,0.23,0.29,0.18,0.34,0.66,0.52,0.33,0.65,0.38,0.62,0.56,0.67,0.7,0.63,0.74,0.73,0.71,0.64,1.0,0.72,0.75,0.58,0.73,0.53,0.66,0.65,0.27,0.41,0.5,0.53,0.52,-0.07,0.35,0.34,0.37,0.22,0.27,0.39,0.32,0.32,0.46,0.46,0.34,0.37,0.45,0.08,0.23,0.27,0.22,0.28,0.34,0.35,0.41,0.19,0.35,0.39,0.08,0.17,0.02,-0.02,0.12,0.15,0.19,0.19,-0.17,0.14,0.18,0.06,0.04,0.03,0.1,-0.02,-0.02,0.12,0.07,0.01,-0.06,0.17,0.26,0.2,-0.01,0.21,0.3,-0.13,0.35,0.37,0.29,0.26,0.22,0.12,-0.09,-0.06,0.17,0.07,0.2,0.19,0.42,0.36,0.29,0.22,0.42,0.27,0.33,0.43,0.36,0.39,0.42,0.45,0.31,0.36,0.38,0.35,0.41,0.39,0.26,0.06,0.08,-0.09,0.09,-0.05,0.1,-0.07,-0.03,-0.0,0.0,-0.04,-0.03,0.05,0.05,-0.07,0.07,-0.02,-0.09,0.04,-0.07,-0.08,-0.14,-0.09,0.06,-0.12,-0.12,-0.09,-0.08,0.04,-0.09,-0.09,-0.06,-0.1,-0.04,-0.07,-0.01,0.03,0.74,0.37,0.2,0.26,0.48
Knows_CERTb,,,0.25,0.33,-0.01,0.31,0.27,0.33,0.17,0.14,0.28,0.34,0.41,0.28,0.26,0.04,0.21,0.12,0.11,0.33,0.23,0.0,-0.13,0.1,0.01,0.29,0.14,0.25,0.31,0.25,0.17,0.32,0.7,0.59,0.42,0.73,0.42,0.64,0.59,0.71,0.73,0.72,0.73,0.72,0.73,0.63,0.72,1.0,0.85,0.65,0.68,0.57,0.62,0.64,0.28,0.44,0.5,0.58,0.47,-0.1,0.31,0.34,0.38,0.23,0.32,0.43,0.35,0.33,0.45,0.45,0.35,0.4,0.46,0.11,0.25,0.22,0.27,0.31,0.33,0.35,0.4,0.28,0.39,0.38,0.04,0.15,0.1,-0.04,0.15,0.12,0.19,0.18,-0.18,0.12,0.16,0.09,0.06,0.01,0.16,-0.04,-0.03,0.12,0.05,0.02,0.02,0.23,0.28,0.2,0.02,0.27,0.33,-0.07,0.37,0.41,0.35,0.29,0.24,0.13,-0.02,-0.01,0.17,0.18,0.25,0.2,0.48,0.39,0.33,0.28,0.47,0.28,0.29,0.53,0.4,0.41,0.43,0.48,0.29,0.35,0.38,0.41,0.41,0.39,0.32,-0.02,0.05,-0.09,0.07,0.01,0.07,0.0,0.0,-0.01,0.06,-0.03,-0.08,0.02,0.09,-0.01,0.05,-0.05,-0.08,0.02,-0.03,-0.05,-0.14,-0.02,0.06,-0.19,-0.17,-0.12,-0.11,-0.03,-0.13,-0.16,-0.11,-0.17,-0.08,-0.11,-0.06,0.04,0.78,0.38,0.21,0.34,0.52
Knows_CERTv,,,0.2,0.37,0.04,0.34,0.28,0.37,0.21,0.17,0.31,0.35,0.45,0.29,0.23,0.03,0.25,0.09,0.07,0.4,0.19,-0.01,-0.13,0.12,0.1,0.27,0.14,0.27,0.31,0.31,0.19,0.38,0.71,0.54,0.34,0.7,0.37,0.62,0.61,0.72,0.77,0.75,0.78,0.77,0.81,0.65,0.75,0.85,1.0,0.65,0.75,0.59,0.7,0.7,0.32,0.46,0.58,0.61,0.53,-0.14,0.34,0.39,0.4,0.26,0.34,0.5,0.41,0.39,0.49,0.5,0.38,0.41,0.49,0.12,0.26,0.28,0.27,0.31,0.38,0.36,0.4,0.27,0.37,0.43,0.0,0.14,0.08,-0.01,0.13,0.16,0.19,0.2,-0.21,0.11,0.18,0.07,0.08,0.02,0.17,-0.04,-0.04,0.15,0.06,0.03,-0.02,0.22,0.26,0.19,0.02,0.29,0.33,-0.12,0.34,0.41,0.34,0.26,0.26,0.1,-0.09,-0.06,0.19,0.12,0.22,0.19,0.49,0.37,0.32,0.3,0.48,0.3,0.34,0.49,0.42,0.41,0.47,0.51,0.31,0.43,0.43,0.41,0.44,0.4,0.3,-0.02,0.04,-0.13,0.0,-0.03,0.07,-0.03,0.02,0.02,-0.01,-0.07,-0.07,0.07,0.13,-0.04,0.09,-0.08,-0.05,0.01,-0.08,-0.09,-0.15,-0.06,0.06,-0.2,-0.19,-0.12,-0.11,0.03,-0.13,-0.14,-0.09,-0.18,-0.07,-0.13,-0.08,0.02,0.74,0.39,0.21,0.3,0.53
Knows_Heise,,,0.18,0.27,-0.13,0.21,0.21,0.31,0.18,0.06,0.23,0.27,0.37,0.2,0.24,0.05,0.14,0.08,0.12,0.22,0.19,-0.05,-0.16,0.07,-0.05,0.31,0.12,0.13,0.27,0.18,0.11,0.24,0.56,0.57,0.34,0.59,0.39,0.53,0.46,0.57,0.56,0.6,0.58,0.59,0.59,0.5,0.58,0.65,0.65,1.0,0.61,0.52,0.51,0.52,0.26,0.44,0.46,0.48,0.42,-0.09,0.23,0.25,0.23,0.19,0.24,0.35,0.33,0.28,0.4,0.38,0.2,0.34,0.4,0.07,0.19,0.19,0.24,0.3,0.33,0.34,0.39,0.39,0.35,0.37,0.02,0.14,0.11,-0.09,0.07,0.04,0.15,0.12,-0.17,0.05,0.06,0.01,-0.04,-0.01,0.02,-0.07,-0.1,0.06,-0.02,-0.07,0.07,0.16,0.22,0.09,0.11,0.17,0.28,-0.01,0.33,0.32,0.35,0.27,0.26,0.17,0.05,0.06,0.19,0.19,0.2,0.11,0.48,0.37,0.25,0.23,0.46,0.18,0.22,0.61,0.37,0.37,0.42,0.42,0.24,0.19,0.26,0.32,0.42,0.35,0.28,0.02,0.02,-0.11,0.09,-0.08,0.01,0.2,-0.01,0.03,0.0,-0.0,-0.09,-0.07,-0.0,-0.0,0.09,-0.06,0.02,-0.04,-0.09,-0.1,-0.13,-0.03,0.0,-0.18,-0.22,-0.16,-0.18,-0.06,-0.16,-0.21,-0.15,-0.13,-0.1,-0.18,-0.13,-0.08,0.7,0.32,0.18,0.3,0.45
Knows_CyberMonth,,,0.15,0.26,0.04,0.28,0.23,0.37,0.2,0.16,0.3,0.3,0.41,0.24,0.25,0.02,0.19,0.05,0.08,0.36,0.19,-0.05,-0.13,0.14,-0.01,0.33,0.15,0.25,0.28,0.27,0.2,0.31,0.72,0.52,0.32,0.71,0.44,0.67,0.6,0.68,0.72,0.69,0.77,0.74,0.71,0.6,0.73,0.68,0.75,0.61,1.0,0.6,0.76,0.72,0.3,0.42,0.56,0.54,0.55,-0.09,0.38,0.36,0.33,0.25,0.27,0.44,0.38,0.35,0.47,0.47,0.33,0.39,0.48,0.09,0.22,0.25,0.25,0.31,0.33,0.36,0.41,0.24,0.4,0.43,0.03,0.17,0.1,0.05,0.16,0.18,0.13,0.18,-0.2,0.18,0.25,0.07,0.09,0.02,0.15,0.01,-0.03,0.17,0.09,0.02,0.02,0.22,0.29,0.2,0.06,0.25,0.31,-0.07,0.4,0.41,0.35,0.26,0.24,0.19,-0.07,-0.03,0.18,0.13,0.24,0.19,0.45,0.42,0.32,0.27,0.5,0.3,0.3,0.48,0.37,0.42,0.47,0.49,0.35,0.39,0.43,0.4,0.49,0.44,0.34,0.04,0.03,-0.09,0.05,-0.06,0.05,-0.0,0.01,0.01,-0.0,-0.03,0.03,0.05,0.04,-0.08,0.09,-0.05,-0.06,0.05,-0.05,-0.03,-0.09,-0.06,0.07,-0.1,-0.14,-0.07,-0.04,0.07,-0.07,-0.09,-0.03,-0.13,-0.06,-0.09,-0.04,0.03,0.76,0.37,0.22,0.34,0.54
Knows_PWDay,,,0.17,0.32,0.03,0.26,0.22,0.28,0.2,0.09,0.23,0.31,0.35,0.23,0.18,0.02,0.15,0.12,0.12,0.25,0.21,0.03,-0.1,0.1,-0.02,0.26,0.19,0.22,0.24,0.25,0.17,0.28,0.57,0.55,0.44,0.55,0.41,0.52,0.47,0.53,0.54,0.56,0.51,0.55,0.54,0.5,0.53,0.57,0.59,0.52,0.6,1.0,0.6,0.59,0.23,0.36,0.44,0.42,0.39,-0.03,0.27,0.27,0.26,0.18,0.2,0.34,0.27,0.23,0.38,0.31,0.2,0.35,0.4,0.15,0.23,0.24,0.3,0.3,0.3,0.33,0.39,0.28,0.39,0.41,0.09,0.21,0.09,0.06,0.13,0.12,0.17,0.18,-0.08,0.17,0.19,0.13,0.13,0.07,0.14,0.0,0.05,0.16,0.08,0.04,0.06,0.14,0.2,0.14,0.11,0.24,0.25,0.04,0.31,0.32,0.33,0.28,0.25,0.23,0.05,0.09,0.21,0.21,0.26,0.21,0.42,0.39,0.33,0.27,0.39,0.25,0.27,0.47,0.37,0.38,0.41,0.43,0.32,0.32,0.35,0.33,0.39,0.37,0.31,0.0,-0.0,-0.01,0.09,-0.04,0.01,0.05,-0.03,-0.01,-0.01,0.05,0.1,-0.01,0.04,0.06,0.04,-0.07,-0.06,0.12,0.04,0.04,-0.01,0.03,0.07,-0.07,-0.11,-0.04,-0.09,0.0,-0.08,-0.03,-0.03,-0.04,-0.02,-0.07,-0.03,-0.0,0.7,0.33,0.21,0.34,0.49
Knows_DigDay,,,0.15,0.27,0.09,0.26,0.25,0.35,0.2,0.16,0.3,0.33,0.41,0.29,0.19,0.0,0.2,-0.02,0.0,0.39,0.2,-0.04,-0.09,0.12,-0.0,0.33,0.07,0.21,0.26,0.34,0.21,0.36,0.68,0.51,0.34,0.62,0.4,0.61,0.56,0.64,0.71,0.66,0.72,0.67,0.65,0.55,0.66,0.62,0.7,0.51,0.76,0.6,1.0,0.79,0.3,0.41,0.52,0.57,0.54,-0.07,0.35,0.31,0.4,0.2,0.3,0.4,0.39,0.34,0.46,0.44,0.38,0.39,0.48,0.14,0.21,0.27,0.28,0.26,0.31,0.38,0.42,0.22,0.39,0.44,0.06,0.21,0.08,0.09,0.17,0.19,0.15,0.19,-0.16,0.2,0.25,0.1,0.11,0.07,0.21,0.05,0.04,0.2,0.13,0.08,0.02,0.18,0.29,0.21,0.05,0.28,0.26,-0.02,0.37,0.37,0.32,0.21,0.31,0.18,-0.03,-0.0,0.24,0.12,0.27,0.23,0.44,0.37,0.34,0.28,0.45,0.3,0.34,0.42,0.4,0.39,0.41,0.49,0.37,0.4,0.42,0.36,0.43,0.39,0.3,0.03,0.05,-0.09,0.09,-0.06,0.03,-0.02,-0.0,0.03,0.01,-0.03,0.05,0.05,0.06,-0.04,0.07,-0.08,-0.06,0.09,-0.04,-0.01,-0.02,-0.01,0.08,-0.06,-0.05,-0.01,-0.05,0.09,-0.02,-0.01,0.01,-0.06,-0.06,-0.07,-0.03,0.05,0.72,0.38,0.25,0.33,0.51
Knows_CSECDay,,,0.14,0.28,0.11,0.26,0.24,0.37,0.19,0.17,0.3,0.36,0.45,0.29,0.23,-0.02,0.19,0.03,0.07,0.35,0.22,-0.02,-0.11,0.12,0.02,0.31,0.13,0.23,0.26,0.27,0.23,0.32,0.67,0.53,0.34,0.62,0.38,0.59,0.59,0.65,0.69,0.65,0.7,0.67,0.62,0.54,0.65,0.64,0.7,0.52,0.72,0.59,0.79,1.0,0.31,0.39,0.51,0.51,0.47,-0.06,0.35,0.35,0.4,0.22,0.28,0.43,0.39,0.33,0.45,0.49,0.34,0.36,0.45,0.14,0.19,0.21,0.26,0.24,0.31,0.34,0.35,0.2,0.35,0.43,0.05,0.17,0.1,0.05,0.18,0.18,0.14,0.18,-0.14,0.19,0.25,0.13,0.14,0.06,0.2,0.08,0.05,0.19,0.15,0.08,0.01,0.19,0.25,0.19,0.05,0.24,0.31,-0.07,0.35,0.38,0.32,0.25,0.31,0.19,-0.05,-0.03,0.23,0.11,0.26,0.25,0.43,0.4,0.32,0.27,0.46,0.28,0.35,0.47,0.43,0.38,0.44,0.49,0.38,0.4,0.45,0.36,0.46,0.38,0.31,-0.0,0.04,-0.12,0.04,-0.01,0.07,-0.02,0.09,0.01,0.02,-0.04,0.01,0.03,0.02,-0.04,0.09,-0.05,-0.08,0.04,-0.03,-0.04,-0.09,0.01,0.08,-0.12,-0.1,-0.03,-0.03,0.1,-0.07,-0.03,0.03,-0.06,-0.08,-0.1,-0.07,0.03,0.73,0.39,0.27,0.33,0.53
PastVictim_Virus,,,-0.02,0.23,0.03,0.2,0.07,0.24,0.09,0.15,0.22,0.17,0.27,0.22,0.25,0.11,0.08,0.17,0.1,0.17,-0.01,0.11,0.15,0.25,0.12,0.09,0.14,0.21,0.1,0.12,0.14,0.12,0.3,0.24,0.15,0.2,0.16,0.26,0.2,0.29,0.29,0.3,0.29,0.29,0.27,0.24,0.27,0.28,0.32,0.26,0.3,0.23,0.3,0.31,1.0,0.51,0.46,0.52,0.51,0.2,0.4,0.41,0.45,0.4,0.44,0.52,0.63,0.59,0.5,0.57,0.5,0.14,0.21,0.04,0.15,0.16,0.19,0.15,0.25,0.25,0.26,0.16,0.21,0.28,0.1,0.13,0.03,0.37,0.26,0.29,0.19,0.34,0.08,0.24,0.29,0.3,0.25,0.18,0.29,0.24,0.18,0.23,0.23,0.21,0.07,0.17,0.15,0.16,0.04,0.16,0.08,0.02,0.21,0.2,0.15,0.18,0.14,0.11,-0.07,-0.02,0.19,0.09,0.11,0.12,0.23,0.14,0.23,0.24,0.25,0.2,0.28,0.26,0.27,0.27,0.31,0.3,0.27,0.29,0.31,0.33,0.3,0.3,0.24,0.0,-0.07,-0.11,0.02,0.02,0.1,0.01,-0.01,0.0,0.0,0.04,0.07,0.08,0.11,-0.05,0.02,-0.01,-0.05,0.11,0.06,0.05,0.0,0.08,0.06,0.06,-0.02,0.08,0.03,0.09,0.1,0.09,0.12,0.02,0.01,0.01,0.05,0.0,0.3,0.61,0.34,0.21,0.36
PastVictim_DDoS,,,0.05,0.34,-0.04,0.2,0.22,0.37,0.19,0.17,0.29,0.26,0.34,0.21,0.26,0.02,0.11,0.14,0.12,0.25,0.16,0.03,0.02,0.11,0.0,0.26,0.2,0.29,0.27,0.17,0.21,0.23,0.38,0.32,0.24,0.42,0.28,0.4,0.36,0.43,0.44,0.47,0.44,0.4,0.42,0.36,0.41,0.44,0.46,0.44,0.42,0.36,0.41,0.39,0.51,1.0,0.65,0.69,0.65,0.06,0.49,0.53,0.54,0.41,0.47,0.65,0.6,0.58,0.64,0.64,0.59,0.31,0.36,0.12,0.22,0.27,0.22,0.22,0.3,0.37,0.41,0.25,0.31,0.36,0.06,0.17,0.1,0.09,0.32,0.24,0.3,0.31,-0.05,0.2,0.28,0.18,0.22,0.15,0.24,0.14,0.12,0.23,0.19,0.18,-0.04,0.12,0.16,0.12,0.06,0.18,0.12,-0.07,0.26,0.27,0.23,0.23,0.29,0.18,-0.1,0.01,0.12,0.18,0.16,0.24,0.31,0.31,0.29,0.29,0.4,0.23,0.32,0.34,0.32,0.29,0.37,0.39,0.31,0.33,0.3,0.44,0.39,0.3,0.18,0.02,-0.04,-0.04,0.08,0.0,0.11,-0.06,-0.04,-0.06,-0.09,0.02,0.07,0.11,0.13,-0.01,0.03,-0.02,-0.07,0.1,-0.04,-0.05,-0.09,0.01,0.08,-0.1,-0.14,-0.12,-0.1,0.04,-0.13,-0.09,-0.06,-0.15,-0.08,-0.08,-0.06,-0.01,0.45,0.6,0.31,0.25,0.42
PastVictim_PerfTheft,,,0.1,0.38,0.02,0.28,0.28,0.48,0.19,0.14,0.29,0.36,0.48,0.25,0.27,-0.06,0.12,0.04,0.11,0.37,0.12,0.03,0.0,0.1,0.1,0.24,0.15,0.21,0.25,0.28,0.25,0.35,0.5,0.38,0.16,0.5,0.18,0.41,0.45,0.5,0.54,0.55,0.58,0.59,0.56,0.45,0.5,0.5,0.58,0.46,0.56,0.44,0.52,0.51,0.46,0.65,1.0,0.81,0.76,-0.06,0.56,0.57,0.56,0.44,0.53,0.65,0.6,0.62,0.65,0.71,0.54,0.38,0.46,0.18,0.21,0.31,0.28,0.28,0.33,0.43,0.45,0.23,0.34,0.47,-0.01,0.12,0.09,0.15,0.29,0.28,0.26,0.39,-0.14,0.2,0.28,0.21,0.23,0.15,0.28,0.17,0.1,0.24,0.22,0.19,-0.01,0.19,0.25,0.22,0.04,0.25,0.23,-0.15,0.31,0.35,0.31,0.27,0.29,0.15,-0.12,-0.02,0.21,0.08,0.18,0.22,0.39,0.33,0.32,0.32,0.47,0.3,0.4,0.43,0.34,0.33,0.45,0.5,0.36,0.39,0.39,0.44,0.47,0.4,0.25,-0.04,0.05,-0.08,0.04,0.0,0.11,-0.05,0.03,-0.09,-0.03,-0.03,-0.05,0.11,0.11,-0.02,0.13,-0.14,-0.05,-0.01,-0.07,-0.08,-0.16,-0.1,0.05,-0.17,-0.21,-0.14,-0.1,0.02,-0.1,-0.11,-0.09,-0.19,-0.07,-0.17,-0.08,-0.05,0.5,0.56,0.3,0.32,0.49
PastVictim_APT,,,0.17,0.38,-0.02,0.25,0.25,0.5,0.21,0.17,0.28,0.36,0.49,0.29,0.25,-0.04,0.12,-0.01,0.03,0.41,0.13,-0.04,-0.01,0.07,0.08,0.26,0.1,0.21,0.3,0.3,0.2,0.35,0.57,0.39,0.21,0.52,0.25,0.47,0.49,0.54,0.57,0.62,0.59,0.58,0.57,0.47,0.53,0.58,0.61,0.48,0.54,0.42,0.57,0.51,0.52,0.69,0.81,1.0,0.83,0.03,0.56,0.59,0.64,0.48,0.55,0.63,0.65,0.61,0.72,0.75,0.61,0.39,0.47,0.16,0.27,0.32,0.31,0.3,0.38,0.48,0.51,0.3,0.41,0.5,0.04,0.18,0.07,0.14,0.29,0.26,0.25,0.38,-0.09,0.25,0.35,0.22,0.17,0.11,0.3,0.1,0.09,0.2,0.17,0.2,-0.03,0.22,0.26,0.22,0.03,0.26,0.2,-0.14,0.35,0.39,0.33,0.24,0.23,0.11,-0.17,-0.09,0.21,0.11,0.2,0.2,0.43,0.34,0.29,0.32,0.47,0.3,0.37,0.47,0.42,0.4,0.44,0.47,0.31,0.35,0.37,0.44,0.48,0.43,0.27,-0.07,-0.02,-0.12,0.07,0.01,0.02,-0.06,0.08,-0.02,-0.04,-0.04,-0.03,0.09,0.12,-0.02,0.09,-0.09,-0.09,0.04,-0.07,-0.08,-0.17,-0.08,0.04,-0.16,-0.2,-0.14,-0.14,0.01,-0.07,-0.12,-0.12,-0.19,-0.09,-0.17,-0.13,-0.02,0.54,0.6,0.33,0.31,0.5
